text,label
programming python 229,Education
science machine 605,Education
coding practice 224,Education
science learning 734,Education
introduction networks neural basics ai 778,Education
course science machine data learning 105,Education
python tutorial programming 619,Education
learning study 128,Education
programming practice 634,Education
lecture study university learning 678,Education
machine learning science data 285,Education
programming coding bootcamp practice 215,Education
university study learning lecture 168,Education
programming practice coding 702,Education
lecture university 825,Education
study university learning 936,Education
introduction networks basics neural 147,Education
lecture study 575,Education
basics networks neural introduction 371,Education
science data machine 774,Education
tutorial programming 164,Education
coding bootcamp programming practice 542,Education
university study learning lecture 788,Education
study lecture 162,Education
programming practice 781,Education
course learning 157,Education
university study 332,Education
coding bootcamp 900,Education
university learning 900,Education
ai networks 836,Education
tutorial python basics programming 272,Education
introduction basics neural networks ai 688,Education
learning university study 231,Education
python programming basics 603,Education
machine science 235,Education
programming python 527,Education
data learning course machine 741,Education
introduction networks basics ai neural 100,Education
practice bootcamp programming 885,Education
python basics tutorial programming 820,Education
tutorial python 550,Education
practice coding 286,Education
coding bootcamp 828,Education
ai basics 993,Education
tutorial basics 498,Education
practice coding 169,Education
practice bootcamp 949,Education
practice programming bootcamp 159,Education
learning machine course data 766,Education
university study 489,Education
ai basics networks 71,Education
introduction networks 123,Education
basics ai neural 84,Education
programming bootcamp coding practice 245,Education
lecture study learning 469,Education
university lecture 637,Education
ai introduction 519,Education
study university 901,Education
course learning data science 627,Education
basics neural 955,Education
programming python 912,Education
tutorial basics programming python 735,Education
study learning 501,Education
university study 434,Education
university lecture 790,Education
learning data course science 575,Education
python programming 926,Education
course learning 441,Education
course science 921,Education
tutorial programming python 683,Education
basics programming python 948,Education
learning data machine 184,Education
lecture learning university 807,Education
python tutorial basics 205,Education
programming coding practice 25,Education
course science machine learning data 657,Education
basics neural ai networks introduction 183,Education
ai basics neural introduction 354,Education
university lecture learning 261,Education
basics python programming tutorial 442,Education
programming basics tutorial python 738,Education
study learning lecture university 413,Education
lecture university learning study 694,Education
data machine learning course 216,Education
programming bootcamp practice coding 692,Education
learning machine science course data 839,Education
learning science machine course 48,Education
science machine learning course data 736,Education
practice coding programming 672,Education
basics python 181,Education
